t_sec,fatigue,focus,heart_age,coherence,resilience
239,43.8,43.8,42.6,60.4,41.6
240,43.1,47.7,43.1,56.7,40.2
241,43.0,49.6,43.0,69.9,40.2
242,43.2,57.8,40.4,78.8,42.1
243,42.6,55.1,38.9,83.4,42.6
244,42.4,50.9,37.7,85.0,43.0
245,43.0,57.4,35.9,84.3,45.2
246,41.6,52.9,35.2,78.5,44.1
247,42.1,44.7,35.1,77.7,44.5
248,41.9,48.2,34.5,78.5,44.8
249,41.6,51.1,34.4,81.4,45.2
250,41.8,45.0,33.8,85.2,45.9
251,41.8,43.8,33.7,87.2,46.5
252,44.7,51.8,33.2,82.9,47.6
253,44.8,55.9,33.3,79.9,48.1
254,44.6,52.4,33.1,78.8,48.2
255,44.8,60.5,32.8,78.2,48.5
256,45.0,64.9,32.7,76.7,48.8
257,44.9,62.0,32.7,78.6,49.1
258,44.9,56.1,32.7,79.4,49.1
259,45.4,52.9,32.3,84.4,49.8
260,44.8,45.1,31.4,85.7,50.2
261,43.6,39.0,30.3,84.9,50.6
262,44.0,43.6,30.0,83.9,51.1
263,44.4,47.2,30.0,84.9,51.4
264,44.5,42.0,30.5,83.5,51.0
265,44.9,45.0,30.8,83.3,51.2
266,45.0,51.6,31.0,84.3,51.1
267,45.7,55.3,31.7,84.6,50.8
268,45.8,58.1,31.3,84.2,50.8
269,46.4,57.7,31.7,82.4,50.6
270,46.8,44.5,32.1,82.1,50.6
271,46.9,37.1,32.6,83.8,50.2
272,46.5,33.4,33.8,85.2,49.5
273,46.6,36.1,34.1,85.0,49.3
274,49.4,40.1,32.1,84.5,51.0
275,49.7,45.7,30.4,84.1,51.8
276,49.2,42.9,29.0,84.7,52.4
277,52.0,40.0,29.2,85.7,55.1
278,52.2,37.0,29.7,86.6,55.0
279,51.8,40.5,30.7,85.8,54.2
280,50.5,50.8,31.1,83.9,53.8
281,50.5,41.5,31.1,80.3,53.8
282,50.9,29.5,31.2,74.6,54.2
283,50.6,42.5,31.1,77.6,54.4
284,50.7,45.3,31.6,78.6,54.3
285,52.4,38.6,31.5,77.6,55.7
286,52.3,34.3,31.3,74.9,55.9
287,52.4,42.5,31.2,72.0,55.9
288,52.5,49.6,31.3,74.6,56.0
289,53.5,49.7,31.3,76.9,55.9
290,53.4,44.5,31.2,77.9,56.0
291,52.0,48.5,31.1,77.1,55.5
292,53.5,45.1,32.0,80.2,56.4
293,53.0,44.8,31.1,81.8,56.5
294,50.7,46.3,32.3,73.8,53.9
295,50.6,43.5,31.8,69.1,54.1
296,50.7,39.2,31.4,67.8,54.3
297,50.6,37.9,31.0,70.1,54.3
298,51.4,44.7,29.2,72.9,56.1
299,50.6,37.8,31.1,78.6,54.3
300,50.7,36.1,31.3,81.4,54.2
